shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BE.TEC.BE.TEC.B1,4.761138,50.622280,0,0.000000
BE.TEC.BE.TEC.B1,4.760396,50.621697,1,0.104748
BE.TEC.BE.TEC.B1,4.759954,50.621324,2,0.168915
BE.TEC.BE.TEC.B1,4.759913,50.621280,3,0.175607
BE.TEC.BE.TEC.B1,4.759876,50.621219,4,0.183501
BE.TEC.BE.TEC.B1,4.759864,50.621157,5,0.190473
BE.TEC.BE.TEC.B1,4.759900,50.621119,6,0.196310
BE.TEC.BE.TEC.B1,4.759918,50.621084,7,0.200746
BE.TEC.BE.TEC.B1,4.759924,50.621046,8,0.204928
BE.TEC.BE.TEC.B1,4.759918,50.621012,9,0.208761
BE.TEC.BE.TEC.B1,4.759981,50.620950,10,0.218599
BE.TEC.BE.TEC.B1,4.760058,50.620899,11,0.228826
BE.TEC.BE.TEC.B1,4.760361,50.620754,12,0.266121
BE.TEC.BE.TEC.B1,4.760449,50.620726,13,0.276330
BE.TEC.BE.TEC.B1,4.760619,50.620680,14,0.295928
BE.TEC.BE.TEC.B1,4.760800,50.620648,15,0.316410
BE.TEC.BE.TEC.B1,4.760877,50.620641,16,0.324994
BE.TEC.BE.TEC.B1,4.761013,50.620633,17,0.340118
BE.TEC.BE.TEC.B1,4.761136,50.620635,18,0.353721
BE.TEC.BE.TEC.B1,4.761247,50.620639,19,0.366119
BE.TEC.BE.TEC.B1,4.761424,50.620662,20,0.385995
BE.TEC.BE.TEC.B1,4.761495,50.620687,21,0.394255
BE.TEC.BE.TEC.B1,4.761594,50.620729,22,0.406186
BE.TEC.BE.TEC.B1,4.761699,50.620789,23,0.419684
BE.TEC.BE.TEC.B1,4.761759,50.620833,24,0.427950
BE.TEC.BE.TEC.B1,4.761832,50.620926,25,0.441051
BE.TEC.BE.TEC.B1,4.761899,50.621027,26,0.454460
BE.TEC.BE.TEC.B1,4.761918,50.621073,27,0.459974
BE.TEC.BE.TEC.B1,4.761931,50.621130,28,0.466453
BE.TEC.BE.TEC.B1,4.761947,50.621216,29,0.476097
BE.TEC.BE.TEC.B1,4.761922,50.621368,30,0.493189
BE.TEC.BE.TEC.B1,4.761864,50.621519,31,0.511075
BE.TEC.BE.TEC.B1,4.761761,50.621653,32,0.529826
BE.TEC.BE.TEC.B1,4.761660,50.621775,33,0.547426
