stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
0,BLANDAIN Eglise,,4.320104,49.981466,,
1,LEVAL-TRAHEGNIES Rue Mont-Sainte-Aldegonde,,4.005045,50.565528,,
2,LEVAL-TRAHEGNIES Rue Mont-Sainte-Aldegonde,,4.004663,50.565607,,
3,LIEGE Rue du Limbourg,,4.372057,51.422249,,
4,LIEGE Boulevard des Hauteurs,,4.370102,51.419310,,
5,VERVIERS Rue de Hodimont,,4.277085,51.604782,,
6,LIEGE Rue Wesphal,,4.368032,51.418699,,
7,VERVIERS Rue de Hodimont,,4.276232,51.605599,,
8,SOUMAGNE Voie de l'Eau,,4.309415,51.544751,,
9,SOUMAGNE place Ferrer,,4.303244,51.536201,,
10,SOUMAGNE Voie de l'Eau,,4.309372,51.544967,,
11,SOUMAGNE Voie de l'Eau,,4.309416,51.544446,,
12,CORBION Centre,,3.731686,51.126896,,
13,CORBION Centre,,3.731959,51.126798,,
14,LEIGNON Rue de Custinne,,3.744272,51.130037,,
15,TAVIERS Rue du Warichet,,4.303347,51.019661,,
16,TAVIERS Rue du Warichet,,4.303419,51.019769,,
17,BEHO Carrefour,,3.667539,51.700849,,
18,BEHO Carrefour,,3.667397,51.700723,,
19,COURTIL Le Castel,,3.670970,51.649833,,
20,SOY Camping,,3.781384,51.382203,,
21,DEIFFELT Carrefour,,3.637426,51.709162,,
22,BIEVRE Route d'Houdremont,,3.228448,51.067178,,
23,THIEU Ascenseur Strépy-Thieu,,4.080530,50.495373,,
24,AVELGEM Station (aankomst)/SNCB (arrivée),,4.544724,50.073222,,
25,DOTTIGNIES/DOTTENIJS Ecoles/Scholen,,4.476724,49.987681,,
26,DOTTIGNIES/DOTTENIJS Ecoles/Scholen,,4.476812,49.987773,,
27,DOTTIGNIES/DOTTENIJS Scierie/Zagerij,,4.473138,49.987457,,
28,HERSEAUX Place/Plaats,,4.473005,49.939084,,
29,VELAINES Place,,4.383348,50.100608,,
30,VELAINES Place,,4.383564,50.100650,,
31,HERMALLE-SOUS-HUY Ecole Communale,,4.212833,51.292975,,
32,HERMALLE-SOUS-HUY Ecole Communale,,4.212747,51.292885,,
33,GHLIN Air Liquide,,4.081473,50.332413,,
34,WANGENIES Place,,4.076726,50.755672,,
35,WANGENIES Route de Mellet,,4.095854,50.759131,,
36,FARCIENNES Campinaire,,3.998472,50.771298,,
37,CHARLEROI Beaux-Arts,,3.979804,50.707435,,
38,DAUSSOIS La Barrière,,3.662220,50.716002,,
39,DAUSSOIS La Barrière,,3.661251,50.717056,,
40,DAUSSOIS Route de Philippeville,,3.669356,50.706847,,
41,DAUSSOIS Route de Philippeville,,3.669416,50.706942,,
42,DAUSSOIS Rue des Rocailles,,3.665468,50.711761,,
43,DAUSSOIS Rue des Rocailles,,3.665681,50.711646,,
44,WANGENIES Route de Mellet,,4.096161,50.759135,,
45,WANGENIES Rue des Martyrs,,4.083298,50.756818,,
46,WANGENIES Place,,4.076939,50.755609,,
47,RANSART Rue du Petit Sablon,,4.048896,50.732727,,
48,RANSART Rue César de Paepe,,4.047472,50.731296,,
49,RANSART Rue du Petit Sablon,,4.048970,50.732668,,
50,FLEURUS Chapelle,,4.089139,50.769925,,
51,FLEURUS Chapelle,,4.089194,50.770035,,
52,RANSART Rue César de Paepe,,4.047419,50.731108,,
53,STATTE Sous les Roches,,4.168188,51.202298,,
54,STATTE Sous les Roches,,4.166818,51.201972,,
55,MARVIE Chapelle,,3.295567,51.542765,,
56,STERPIGNY Route de Gouvy,,3.622305,51.635104,,
57,LIBRAMONT I.C.A.,,3.195674,51.309656,,
58,ANLOY Gare,,3.265934,51.210969,,
59,SAINTE-ODE Route de l'Hôpital,,3.419240,51.390095,,
60,BASTOGNE Route de Marche,,3.325231,51.513246,,
61,BASTOGNE Route de Marche,,3.325468,51.513819,,
62,AVISCOURT Centre,,3.400029,51.412867,,
63,GLAIREUSE Eglise,,3.256505,51.220773,,
64,COURTIL Le Castel,,3.671290,51.649969,,
65,SOY Camping,,3.781652,51.382226,,
66,LAVACHERIE Eglise,,3.406442,51.392802,,
67,SCHMIEDE Knauf,,3.617038,51.718952,,
68,DEIFFELT Carrefour,,3.637502,51.708905,,
69,AVISCOURT Route d'Herbaimont,,3.407275,51.415988,,
70,MARTELANGE Chemin de Perlé,,3.017368,51.539307,,
71,BIEVRE Route d'Houdremont,,3.228643,51.066731,,
72,CORBION Ferme,,3.732104,51.125643,,
73,AUVELAIS Trieu des Cannes,,4.043052,50.833487,,
74,AUVELAIS Trieu des Cannes,,4.042867,50.833505,,
75,LODELINSART Saint-Antoine,,4.013979,50.705548,,
76,PROFONDEVILLE Pont de Lustin,,3.900551,50.980494,,
77,LA LOUVIERE SNCB Sud,,4.062089,50.545332,,
78,GOSSELIES Aérogare,,4.065671,50.723173,,
79,GOSSELIES Aérogare,,4.065671,50.723173,,
80,WOLKRANGE Chapelle N81,,2.742117,51.588374,,
81,THUIN Athénée,,3.864400,50.612450,,
82,VAUX-SOUS-CHEVREMONT place T. Foguenne,,4.282882,51.464695,,
83,LIEGE rue de Vottem,,4.371957,51.425799,,
84,AWANS rue de Xhendremael,,4.395365,51.361866,,
85,AWANS rue de Xhendremael,,4.395251,51.361920,,
86,NANDRIN Bois de la Bouhaye,,4.106489,51.329497,,
87,NANDRIN Bois de la Bouhaye,,4.106402,51.329622,,
88,SENY Petit Seny,,4.045314,51.321257,,
89,SENY Petit Seny,,4.045284,51.321347,,
90,SCRY Eglise,,4.117823,51.302611,,
91,CHEVETOGNE Enhet Eglise,,3.679696,51.130236,,
92,THOREMBAIS-SAINT-TROND Carrefour,,4.330829,50.923678,,
93,THOREMBAIS-SAINT-TROND Carrefour,,4.331030,50.923335,,
